"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年3月27日","0.31038","0.30280","0.31101","0.30063","467.14M","2.50%"
"2019年3月26日","0.30280","0.30297","0.30370","0.29407","375.75M","-0.06%"
"2019年3月25日","0.30297","0.30774","0.30799","0.29995","405.39M","-1.55%"
"2019年3月24日","0.30774","0.31170","0.31173","0.30538","291.97M","-1.27%"
"2019年3月23日","0.31171","0.31054","0.31258","0.30924","235.98M","0.37%"
"2019年3月22日","0.31057","0.31010","0.31248","0.30739","286.22M","0.15%"
"2019年3月21日","0.31010","0.31780","0.31911","0.30280","434.50M","-2.41%"
"2019年3月20日","0.31776","0.31583","0.32231","0.31177","400.29M","0.59%"
"2019年3月19日","0.31590","0.31479","0.31625","0.31280","310.94M","0.36%"
"2019年3月18日","0.31478","0.31568","0.31948","0.31241","312.31M","-0.28%"
"2019年3月17日","0.31568","0.31871","0.31902","0.31445","222.11M","-0.95%"
"2019年3月16日","0.31871","0.31505","0.32277","0.31494","413.37M","1.16%"
"2019年3月15日","0.31505","0.31153","0.31665","0.31117","295.02M","1.13%"
"2019年3月14日","0.31154","0.31374","0.31680","0.30686","352.04M","-0.71%"
"2019年3月13日","0.31376","0.31039","0.32520","0.30781","452.35M","1.08%"
"2019年3月12日","0.31039","0.31040","0.31157","0.30641","237.32M","0.00%"
"2019年3月11日","0.31039","0.31295","0.31447","0.30799","310.57M","-0.82%"
"2019年3月10日","0.31295","0.31388","0.31692","0.30933","260.45M","-0.30%"
"2019年3月9日","0.31388","0.30805","0.31886","0.30746","411.92M","1.90%"
"2019年3月8日","0.30802","0.31324","0.31624","0.30520","292.33M","-1.67%"
"2019年3月7日","0.31324","0.31648","0.31953","0.31292","373.33M","-1.02%"
"2019年3月6日","0.31648","0.31513","0.32161","0.31034","402.06M","0.43%"
"2019年3月5日","0.31513","0.30247","0.31794","0.30130","391.02M","4.19%"
"2019年3月4日","0.30246","0.31106","0.31213","0.29794","328.22M","-2.76%"
"2019年3月3日","0.31106","0.31411","0.31537","0.30889","273.79M","-0.97%"
"2019年3月2日","0.31411","0.31587","0.31818","0.31054","286.01M","-0.56%"
"2019年3月1日","0.31588","0.31412","0.32379","0.31200","444.26M","0.56%"
"2019年2月28日","0.31412","0.31108","0.31735","0.30738","400.32M","0.98%"
"2019年2月27日","0.31108","0.31686","0.31878","0.30199","422.85M","-1.88%"
"2019年2月26日","0.31703","0.32786","0.33463","0.31447","610.44M","-3.30%"
"2019年2月25日","0.32786","0.29778","0.33951","0.29775","735.19M","10.11%"
"2019年2月24日","0.29775","0.33285","0.34362","0.29478","917.84M","-10.54%"
"2019年2月23日","0.33285","0.32150","0.33403","0.31811","372.21M","3.53%"
